Bengali,Chakma,Tense
".তারুম জঙ্গল নেই,ব","𑄖𑄢𑄪𑄟𑄴 𑄏𑄢𑄴 𑄚𑄬𑄃𑄨, 𑄞𑄝𑄧𑄢𑄴",Present
"কেন বানাবে সুগন্ধি,ব কাপ","𑄇𑄬𑄚𑄬 𑄝𑄚𑄬𑄝𑄬 𑄥𑄮𑄌𑄴𑄎𑄬𑄇𑄴, 𑄝𑄧 𑄇𑄘𑄨",Future
"চ গাছ,সীালের পাশে একনাগাে ফুল আছে","𑄌𑄧 𑄉𑄌𑄴, 𑄥𑄨𑄣𑄴 𑄇𑄧𑄢𑄮𑄃𑄨 𑄃 𑄚𑄇𑄴𑄥𑄜𑄪𑄣𑄧 𑄉𑄌𑄴 𑄚𑄬𑄃𑄨",Present
বানাতে পারবে না বিে,𑄝𑄚𑄬 𑄚𑄧 𑄛𑄢𑄨𑄝𑄬 𑄝𑄨𑄠𑄮𑄋𑄴।,Future
ওই মেেটা পাহাে সব চে দিল,𑄃𑄧𑄃𑄨 𑄟𑄬𑄠𑄬 𑄟𑄪𑄢𑄮𑄖𑄴 𑄝𑄨𑄎𑄮𑄢𑄴 𑄌𑄢𑄳𑄦𑄬 𑄘𑄨𑄣𑄪𑄋𑄴,Past
তোমার সে বানানোর শখ আছে,𑄖𑄧 𑄥𑄬 𑄝𑄚𑄬𑄝𑄢𑄴 𑄥𑄧𑄌𑄴𑄛𑄧𑄘𑄧𑄢𑄴 𑄥𑄪𑄚𑄴𑄎𑄪𑄇𑄴।,Present
".নিঃশব্দ করে ঘুমাই যাও,চিন্তা করিও না মনে","𑄚𑄨𑄛𑄧𑄢𑄴𑄞 𑄉𑄧𑄢𑄨 𑄊𑄪𑄟𑄴 𑄡, 𑄌𑄨𑄘𑄬 𑄚𑄧 𑄃𑄚𑄨𑄌𑄴 𑄟𑄧𑄚𑄧𑄖𑄴",Present
ধরে ধরে বেঁধে থাকতে পারবে না সে,"𑄙𑄧𑄢𑄴𑄡𑄮 𑄙𑄧𑄢𑄨 𑄝𑄌𑄴𑄎𑄬 𑄛𑄬𑄝𑄬 𑄚𑄧 𑄗𑄬𑄝𑄧 𑄇𑄧𑄚𑄧 𑄃𑄪𑄚𑄧,",Future
.পুেতে মনের ইচ্ছা পূরণ করতে পারবে,𑄛𑄪𑄢𑄬𑄃𑄨 𑄛𑄢𑄨𑄝𑄬 𑄟𑄧𑄚𑄧𑄢𑄴 𑄃𑄃𑄧𑄱𑄌𑄴।,Future
দক্ষিণ পশ্চিম থেকে,𑄘𑄧𑄉𑄨𑄚𑄴 𑄛𑄧𑄎𑄨𑄟𑄬𑄖𑄴𑄖𑄪𑄚𑄴,Present
কালো মেে দৌে আসছে,𑄇𑄣 𑄟𑄬𑄉𑄬 𑄙𑄉𑄨 𑄃𑄚𑄬𑄢𑄴,Present
এক জাতী বুনো ফল যা সবজি হিসেবে ব্যবহৃত হ,𑄦𑄨𑄣𑄧𑄢𑄴 𑄦𑄬𑄭𑄣𑄴 𑄃𑄉𑄌𑄴𑄥𑄚𑄴,Present
"কি হবে,কি হবে","𑄇𑄨 𑄦𑄧𑄞𑄧, 𑄇𑄨 𑄉𑄧𑄢𑄨𑄝𑄧𑄋𑄴",Future
বািটা দুা দেখলে ভাঙা ভাঙা,𑄊𑄧𑄢𑄴 𑄘𑄪𑄠𑄢𑄴 𑄌𑄬𑄣𑄬 𑄞𑄋 𑄞𑄋।,Present
বাঁশের কলা বলে আজকে,𑄝𑄘𑄨𑄠𑄳𑄠 𑄇𑄧𑄠𑄴𑄘𑄬 𑄃𑄎𑄨,Present
মুরগীর গািটা ডাকতেছে,𑄇𑄪𑄟𑄮𑄎𑄧 𑄉𑄌𑄴𑄍𑄪 𑄘𑄉𑄨 𑄇𑄧𑄢𑄴,Present
কেলা কথা গুলো আসে কেন?,𑄇𑄬𑄣𑄳𑄠 𑄇𑄧𑄙𑄚𑄨 𑄃𑄬𑄌𑄳𑄠𑄬 𑄇𑄨 𑄇𑄧𑄌𑄴?,Present
৮১০৩. সাল,"𑄷𑅄𑄾𑄹 𑄥𑄣𑄧𑄖𑄴,",Present
সে মুরগিটা কেটে দিল,𑄥𑄬 𑄇𑄪𑄟𑄮𑄎𑄧 𑄉𑄌𑄴𑄍𑄱 𑄇𑄝𑄨 𑄘𑄨𑄣𑄇𑄴,Past
সে ছোট ছেলে-মেে,𑄥𑄬 𑄌𑄨𑄉𑄮𑄚𑄴 𑄉𑄏𑄬-𑄝𑄎𑄬,Present
১. তার মানে আর মানে না ২. তার মানে নাই,𑄖𑄚𑄴 𑄚𑄧 𑄟𑄚𑄬𑄢𑄴 𑄃𑄢𑄴।,Present
যে গাছের ফুল থেকে ফল বের হ,𑄡𑄬 𑄉𑄏𑄧 𑄜𑄪𑄣𑄧𑄖𑄴𑄪𑄚𑄴 𑄜𑄧𑄣𑄴 𑄙𑄪𑄢𑄨,Present
এক জাতী গাছ,"𑄃𑄪𑄘𑄨𑄝𑄇𑄴 𑄚𑄪𑄠𑄱 𑄉𑄧𑄢𑄨 𑄉𑄌𑄴,",Present
এই গাছটি হাত দিলে,𑄥𑄬 𑄉𑄌𑄴𑄥𑄪𑄚𑄴 𑄦𑄖𑄴 𑄘𑄨𑄣𑄬,Past
ব ব হেছে এমন,𑄘𑄋𑄴𑄘𑄋𑄳𑄠𑄬 𑄦𑄧𑄞𑄧 𑄦𑄨𑄣𑄴 𑄌𑄘𑄨𑄉𑄋𑄴।,Present
মনে হ আমি তোমার জন্য অপেক্ষা করছি,𑄞𑄝𑄨 𑄌𑄧 𑄝𑄪𑄏𑄨 𑄌𑄧 𑄟𑄪𑄢𑄧𑄖𑄴𑄛𑄪𑄢𑄨,Present
মেেদের নাচতে হবে,𑄟𑄨𑄣𑄬 𑄎𑄖𑄴𑄖𑄱 𑄝𑄎 𑄛𑄧𑄢𑄨𑄝𑄧,Future
এখানে আমার বাবা থাকেন,𑄃𑄨𑄠𑄚𑄴 𑄟𑄧𑄢𑄴 𑄝𑄬𑄉𑄧 𑄃𑄨𑄙𑄪 𑄖𑄪𑄘𑄨।,Present
কি হেছে তোমার,"𑄇𑄨 𑄦𑄧𑄣𑄧 𑄎𑄪𑄟𑄴𑄴𑄟𑄧𑄝𑄨 𑄖𑄧𑄢𑄴,",Present
.শুধু চোখ মেলে তাকিে থাকে,𑄝𑄚 𑄌𑄮𑄇𑄴 𑄛𑄬𑄣𑄳𑄦𑄬 𑄛𑄬𑄣𑄳𑄦𑄬 𑄌𑄬𑄃𑄨 𑄃𑄊𑄧𑄌𑄴,Present
নাচা না করে চোখ লাল করে তাকানো,𑄚𑄧 𑄣𑄧𑄢𑄬 𑄚𑄧 𑄌𑄧𑄢𑄬 𑄌𑄮𑄇𑄴 𑄢𑄋,Present
চোখের পাতা একনাগাে করো,𑄌𑄮𑄉𑄧 𑄛𑄘 𑄃𑄬𑄇𑄴 𑄚𑄧 𑄉𑄧𑄢𑄧𑄌𑄴।,Present
কি হেছে তোমার মাথা,𑄇𑄨 𑄦𑄧𑄠𑄬 𑄖𑄧𑄢𑄴 𑄞𑄋𑄨 𑄇𑄧।,Present
তোমরা আমাদের তেরটা ভাইদের এক বোন,"𑄖𑄪𑄃𑄨 𑄃𑄟𑄳𑄦 𑄖𑄬𑄢𑄧𑄝𑄱 𑄞𑄬𑄃𑄨𑄠𑄮𑄢𑄴 𑄃𑄬𑄇𑄴𑄇𑄱 𑄝𑄮𑄚𑄴,",Present
কত ব নাগাল পেলাম তোমাকে,𑄇𑄧𑄙𑄧𑄇𑄴 𑄙𑄢𑄎𑄬 𑄛𑄬𑄣𑄧𑄋𑄴 𑄖𑄧𑄢𑄬,Past
জীবন বেঁচে থাকে,𑄎𑄨𑄁𑄇𑄚𑄨 𑄝𑄎𑄨 𑄗𑄇𑄴𑄇𑄬,Present
তোমাকে আমি দুঃখ দিতে চাই না,𑄖𑄧𑄢𑄬 𑄃𑄟𑄨 𑄘𑄪𑄇𑄴 𑄘𑄨𑄝𑄢𑄴 𑄚𑄧 𑄌𑄬𑄃𑄨।,Present
বার বার তোমাকে নিে যাই,𑄝𑄢𑄴 𑄉𑄧𑄢𑄧𑄋𑄴 𑄖𑄧𑄟𑄢𑄬 𑄚𑄨𑄚𑄬𑄃𑄨,Present
"পৃথিবীতে কেউ নেই, কার কথা আছে না","𑄛𑄨𑄖𑄴𑄗𑄨𑄟𑄨 𑄝𑄨𑄎𑄧𑄉𑄧𑄖𑄴, 𑄇𑄢𑄧 𑄇𑄧𑄝𑄣𑄧𑄖𑄴 𑄚𑄬𑄃𑄨 𑄖𑄬𑄢𑄧 𑄞𑄬𑄃𑄨।",Present
তোমরা ভে ভে মার খাও,𑄖𑄪𑄟𑄨 𑄞𑄬𑄃𑄨𑄠𑄬 𑄞𑄬𑄃𑄨𑄠𑄬 𑄉𑄧𑄢𑄧𑄢𑄴 𑄟𑄢 𑄟𑄢𑄨।,Present
গাঙে গেলে ঝাু মরে,𑄉𑄋𑄧𑄖𑄴 𑄡𑄬𑄣𑄬 𑄏𑄝𑄧𑄚𑄴 𑄟𑄧𑄢𑄬,Present
"এখানে গেলে বাতাস, বাু",𑄃𑄨𑄌𑄴𑄇𑄪𑄣𑄧𑄖𑄴 𑄡𑄬𑄣𑄬 𑄞𑄬𑄌𑄴𑄍𑄚𑄴,Present
পাহাের পাতা কাটা যা না,𑄘𑄢𑄴𑄝𑄱 𑄛𑄘 𑄇𑄧𑄎 𑄡𑄬𑄃𑄨 𑄚𑄧 𑄛𑄢𑄧𑄋𑄴,Present
ভিন্ন জাতের ভে,𑄞𑄨𑄚𑄴 𑄎𑄖𑄴𑄖𑄱 𑄘𑄧𑄢𑄬।,Present
.নিঃশব্দ কোনো জাগা,𑄚𑄨𑄛𑄧𑄢𑄴𑄞 𑄚𑄬𑄃𑄨 𑄟𑄧𑄢𑄴 𑄇𑄧𑄚𑄧 𑄎𑄉𑄖𑄴,Present
ভাঙা কলকি দিে তোমাদেরকে ডাকতেছি,𑄞𑄋𑄨 𑄇𑄧𑄣𑄪𑄋𑄴 𑄖𑄧𑄟𑄢𑄬,Present
এবার তোমরা কি গরিব,𑄃𑄬𑄝𑄢𑄴 𑄖𑄪𑄟𑄨 𑄇𑄨 𑄉𑄧𑄢𑄨𑄝?,Present
তোমাদের নানিের বোন,𑄚𑄧𑄠𑄴 𑄦𑄢𑄬𑄝 𑄖𑄧𑄟 𑄚𑄮𑄚𑄨𑄠𑄬 𑄝𑄮𑄚𑄴,Present
পাহাের চূা,𑄟𑄪𑄃𑄨 𑄌𑄋𑄴𑄟,Present
বাঙালিতে আছে নাকি আমি বাঙালি,𑄝𑄁𑄣𑄘𑄬𑄏𑄧𑄖𑄴 𑄃𑄊𑄧𑄁 𑄞𑄨𑄣𑄨 𑄚𑄧𑄠𑄴 𑄟𑄪𑄃𑄨 𑄝𑄋𑄣𑄨,Present
এখান থেকে বেশি ব চিনেছি আমি,𑄃𑄨𑄖𑄴𑄪𑄚𑄴 𑄝𑄬𑄌𑄴 𑄘𑄋𑄧𑄢𑄴 𑄌𑄨𑄚𑄴𑄛𑄧𑄌𑄳𑄠𑄬 𑄟𑄪𑄃𑄨 𑄎𑄪𑄟𑄴𑄧 𑄎𑄘𑄨,Present
এক জাতী বুনো ফল যা সবজি হিসেবে ব্যবহৃত হ,𑄦𑄨𑄣𑄴 𑄌𑄘𑄨𑄉𑄋𑄧𑄢𑄴 𑄃𑄘𑄨𑄝𑄥𑄨।,Present
মুখে আছে ভাত,𑄟𑄪𑄃𑄨 𑄃𑄊𑄬 𑄞𑄌𑄴।,Present
আমি আছি উপরে,𑄟𑄪𑄃𑄨 𑄃𑄊𑄬 𑄃𑄧𑄏𑄛𑄖𑄴।,Present
.আমার মুখে হাসি,𑄟𑄪𑄃𑄨 𑄴 𑄃𑄊𑄬 𑄢𑄨𑄘𑄨𑄥𑄪𑄙𑄮𑄟𑄴।,Present
আমি আছি একা,𑄟𑄪𑄃𑄨 𑄃𑄊𑄬 𑄃𑄣𑄳𑄠𑄇𑄴।,Present
সবগুলো আমি তোমার থেকে আলাদা,𑄝𑄬𑄇𑄴𑄈𑄚𑄨 𑄟𑄪𑄭 𑄖𑄧𑄟𑄖𑄴𑄪𑄚𑄴 𑄃𑄣𑄘।,Present
"তুমি কেন বার বার আসা যাওা করো,পিঁপা থেকে দূরে দূরে কথা বলতেছ","𑄖𑄪𑄃𑄧 𑄇𑄨𑄖𑄴𑄬 𑄝𑄢𑄴𑄝𑄋𑄚𑄬, 𑄛𑄨𑄢𑄳𑄦𑄨𑄖𑄴𑄪𑄚𑄴 𑄛𑄨𑄢𑄳𑄦𑄨 𑄇𑄮𑄭 𑄡𑄧𑄢𑄴",Present
বাঙালিতে যারা আছে আমরা সবাই বাঙালি,𑄝𑄁𑄣𑄘𑄬𑄏𑄧𑄖𑄴 𑄡𑄢 𑄃𑄊𑄨 𑄃𑄟𑄨 𑄝𑄬𑄇𑄴𑄪𑄚𑄴 𑄝𑄋𑄣𑄨।,Present
পাহাে আসলাম শাকের জাত,"𑄟𑄪𑄭 𑄃𑄬𑄣𑄪𑄁 𑄥𑄥𑄧𑄇𑄴 𑄎𑄖𑄴,",Past
আমার দেশ এসেছে,𑄘𑄬𑄌𑄴 𑄃𑄬𑄣𑄧 𑄟𑄧𑄢𑄴।,Present
সম নদীকে এখন আমি রেছি,𑄥𑄧𑄟𑄧𑄠𑄧𑄢𑄴 𑄉𑄧𑄋𑄢𑄬 𑄃𑄨𑄇𑄳𑄠𑄬 𑄟𑄪𑄭 𑄢𑄧𑄚𑄴𑄦𑄨𑄚𑄴,Present
সেকারণে কি তোমরা আংটা বাঁকা করে তাকা?,𑄥𑄬𑄚𑄬 𑄇𑄨 𑄖𑄪𑄟𑄨 𑄃𑄧𑄚𑄴𑄥𑄪𑄢𑄴 𑄝𑄬𑄋 𑄌𑄮𑄉𑄬 𑄌𑄬𑄝?,Present
"রণক্ষেত্র না, যুদ্ধক্ষেত্র","𑄢𑄧𑄚𑄴𑄦𑄨𑄚𑄴 𑄚𑄧𑄠𑄴,",Present
আমার রোদ পোহাতে ইচ্ছে করে,𑄢𑄧𑄚𑄴 𑄇𑄝𑄬 𑄟𑄧𑄢𑄴।,Present
"আমার তো ভাই আছে,তোমার ভাই","𑄟𑄧𑄢𑄴𑄃𑄮 𑄘𑄧 𑄣𑄮 𑄃𑄊𑄬, 𑄃𑄊𑄬 𑄖𑄧𑄟 𑄥𑄚𑄴",Present
"চোখ,কান,হাতের পা যাওা যা তোমার","𑄌𑄮𑄇𑄴, 𑄇𑄚𑄴, 𑄦𑄖𑄴 𑄗𑄬𑄋𑄴 𑄡 𑄖𑄧𑄟𑄢𑄴 𑄃𑄊𑄬।",Present
"শুধু আমি বোই করি, কথা শুধু কাকে রাখি না","𑄝𑄚 𑄚𑄧𑄠𑄴 𑄟𑄪𑄭 𑄝𑄬𑄎𑄧𑄝𑄚𑄴, 𑄇𑄧𑄙 𑄘𑄨𑄚𑄬𑄭 𑄇𑄢𑄧𑄢𑄬 𑄚𑄧 𑄗𑄧𑄉𑄁।",Present
পাহাের চূা,𑄟𑄪𑄭 𑄌𑄋𑄴𑄟।,Present
যত দিন থাকবে কেক দিন থাকবে কেকদিন,"𑄡𑄬𑄘𑄧𑄇𑄴 𑄘𑄨𑄚𑄴 𑄗𑄬𑄝𑄧 𑄇𑄬𑄃𑄮𑄇𑄳𑄢𑄧𑄓𑄧𑄁, 𑄜𑄪𑄢𑄮𑄟𑄮𑄚𑄴, 𑄃𑄣𑄪𑄖𑄨𑄣",Future
"এত করে চেে,মিঁষি,সখী,ফেনি","𑄡𑄬𑄘𑄧𑄇𑄴 𑄉𑄧𑄋𑄬𑄝𑄧 𑄌𑄬𑄋𑄬, 𑄟𑄨𑄋𑄨𑄚𑄨, 𑄥𑄧𑄁𑄈𑄧, 𑄜𑄬𑄚𑄨,",Present
"মািটা অনেক ব,এত দিন পর্যন্ত থাকবো","𑄟𑄖𑄟𑄪𑄦𑄪𑄢𑄨 𑄃 𑄝𑄧𑄢𑄴𑄉𑄁, 𑄥𑄬𑄘𑄧𑄇𑄴 𑄘𑄨𑄚𑄴 𑄥𑄧𑄁 𑄗𑄬𑄭𑄟𑄴,",Future
.সুসুে ও জাগা নাাচাা করতেছে,"𑄥𑄪𑄚𑄧 𑄥𑄪𑄚𑄧 𑄃𑄧𑄱 𑄎𑄘𑄧𑄢𑄴 𑄚𑄚𑄪 𑄇𑄮𑄣𑄬𑄠𑄳𑄠,",Present
তোমাদের বাসা কত পা আছে,𑄖𑄧𑄟 𑄉𑄨𑄢𑄨𑄖𑄴 𑄇𑄧𑄙𑄧𑄇𑄴 𑄛𑄧𑄢𑄨 𑄃𑄊𑄧𑄚𑄴,Present
নেই এমন নদীর মাছের হা,𑄚𑄬𑄃𑄨𑄠𑄳𑄠 𑄚𑄘𑄧𑄋𑄴𑄍𑄢 𑄟𑄚𑄴𑄎𑄮𑄢𑄴 𑄦𑄢𑄴,Present
গাঙে ডুবে গেল চোখের পানি,𑄉𑄋𑄴 𑄝𑄮𑄃𑄨 𑄡𑄬𑄣𑄧 𑄌𑄮𑄉𑄧 𑄛𑄚𑄨𑄠𑄬,Past
তার অভ্যাস তুমি কি পর?,𑄖𑄢𑄴 𑄃𑄨𑄎𑄬𑄛𑄴 𑄖𑄪𑄟𑄨 𑄇𑄨 𑄛𑄧𑄢𑄴?,Present
ভেঙে দো কেক,𑄞𑄋𑄨 𑄘𑄨𑄝 𑄇𑄧𑄙𑄧𑄇𑄴-,Present
সুন্দর সোনার টুকরা,"𑄘𑄮𑄣𑄴 𑄥𑄮𑄚𑄢𑄴 𑄥𑄧𑄋𑄴𑄥𑄢𑄴,",Present
ভেঙে গেল কেক,𑄞𑄋𑄨 𑄉𑄬𑄣𑄧 𑄇𑄧𑄙𑄧𑄇𑄴-,Past
"স্বপ্ন দেখা,আসা","𑄥𑄧𑄝𑄧𑄚𑄧𑄢𑄴 𑄢𑄬𑄉, 𑄃𑄏 𑄃 𑄇𑄮𑄌𑄴𑄛𑄚।",Present
আরও কত?,𑄃𑄢𑄴 𑄇𑄧𑄙𑄧𑄇𑄴?,Present
ধনপুতুল থেকে কেটে নিে যাওা রাধাকে,𑄙𑄧𑄚𑄴𑄛𑄪𑄘𑄨𑄖𑄴𑄖𑄪𑄚𑄴 𑄇𑄢𑄨 𑄚𑄨𑄝 𑄢𑄙𑄟𑄧𑄚𑄧𑄢𑄬,Present
তার রাগ তুমি কি দিবে?,𑄖𑄢𑄴 𑄃𑄨𑄎𑄬𑄛𑄴 𑄖𑄪𑄟𑄨 𑄇𑄨 𑄘𑄨𑄝?,Future
.ও লারগুলো সুঁচালো,𑄃𑄧𑄱 𑄣𑄧𑄢𑄴𑄝𑄱𑄃𑄪𑄚𑄴 𑄥𑄪𑄚𑄧-,Past
"তুমি জঙ্গল পরিষ্কার করো, সুন্দর করো মন","𑄖𑄪𑄟𑄨 𑄏𑄢𑄨 𑄜𑄬𑄣𑄧 𑄦𑄞𑄨𑄣𑄳𑄠𑄌𑄴, 𑄖𑄧𑄚𑄧𑄇𑄴 𑄉𑄧𑄢𑄧 𑄟𑄧𑄚𑄴",Present
".গবাদিপশু,ভাতের পাছাটা পঁচা","𑄉𑄪𑄌𑄴 𑄘𑄪𑄃𑄧, 𑄞𑄖𑄴𑄟𑄧𑄎 𑄛𑄪𑄚𑄧𑄖𑄴 𑄝𑄚𑄧",Present
তারা হিল মাটি পরিষ্কার করতেছে,𑄦𑄨𑄣𑄧𑄢𑄴 𑄟𑄘𑄨 𑄈𑄧𑄎𑄣𑄴 𑄝𑄟𑄴 𑄝𑄪𑄏𑄮𑄘𑄮𑄇𑄴 𑄖𑄢।,Present
"বাির সুতে করা লেং, সাত নাল সুতা ছিঁেছে","𑄊𑄧𑄢𑄧 𑄥𑄪𑄖𑄴𑄖𑄪𑄢𑄬 𑄉𑄧𑄢𑄧 𑄣𑄬𑄋𑄴, 𑄥𑄖𑄴 𑄚𑄣𑄴 𑄥𑄪𑄘𑄧 𑄍𑄨𑄚𑄧",Present
এখান থেকে দূরে হলেও তারা দৌাদৌি করে,𑄃𑄨𑄖𑄴𑄧𑄱 𑄇𑄪𑄘𑄪𑄟𑄴 𑄦𑄧𑄣𑄬𑄠𑄮 𑄎𑄘𑄧𑄢𑄴 𑄥𑄪𑄖𑄴𑄖𑄪𑄢𑄪 𑄖𑄢,Present
না দেখলেও দা-মাা পে,𑄚𑄧 𑄘𑄬𑄊𑄬𑄃𑄮 𑄘𑄧𑄠𑄬-𑄟𑄬𑄠𑄳𑄦𑄬 𑄛𑄧𑄢𑄳𑄦𑄢𑄴 𑄖𑄬𑄝𑄨𑄣𑄴 𑄃𑄨𑄢𑄧,Present
কিছুক্ষণ পর পর দৌাদৌি করা,𑄃𑄬𑄉𑄟𑄧𑄚𑄬 𑄎𑄘𑄧𑄢𑄴' 𑄥𑄪𑄖𑄴𑄖𑄪𑄢𑄪𑄢𑄬 𑄚𑄨𑄟𑄎𑄢 𑄉𑄧𑄢𑄧।,Present
কি আর লেখা,𑄇𑄨 𑄃𑄢𑄴 𑄣𑄨𑄊𑄨𑄟𑄴,Present
কি আরও লিখবো?,𑄇𑄨 𑄃𑄢𑄴 𑄣𑄨𑄊𑄨𑄟𑄴?,Future
আমি ভাত খাই না,𑄟𑄪𑄠𑄧𑄖𑄴 𑄞𑄌𑄴 𑄚𑄬𑄃𑄨।,Present
কলম খুলতে পারি না হাত দিে,𑄇𑄧𑄣𑄧𑄟𑄴 𑄙𑄪𑄢𑄨 𑄚𑄧 𑄛𑄢𑄧𑄁 𑄦𑄖𑄴 𑄉𑄨𑄢𑄴𑄉𑄨𑄢𑄃𑄨।,Present
চোখের পানি কিছু দেখতেছি না,𑄌𑄮𑄉𑄧𑄛𑄚𑄨𑄠𑄬 𑄇𑄨𑄌𑄴𑄍𑄪 𑄚𑄧 𑄘𑄬𑄊𑄧𑄋𑄴।,Present
শুধু রোদ পোহা,"𑄝𑄚 𑄢𑄧𑄚𑄴 𑄇𑄝𑄬,",Present
চোখ বন্ধ করে কান্না,"𑄌𑄮𑄇𑄴 𑄗𑄬𑄚𑄬𑄃𑄨 𑄇𑄚𑄴,",Present
মুখ থেকে গন্ধ বের হওা,𑄟𑄪 𑄗𑄬𑄚𑄬𑄃𑄨 𑄝𑄪𑄛𑄴।,Present
আমরা কি মানুষ?,𑄃𑄟𑄨 𑄇𑄨 𑄟𑄚𑄪𑄌𑄴?,Present
মানুষ কথা বললে মেজাজ খারাপ,𑄟𑄚𑄪𑄌𑄴 𑄇𑄧𑄣𑄬 𑄃𑄨𑄥𑄳𑄦𑄧𑄢𑄴 𑄝𑄬𑄎𑄢𑄴,Present
এক লোক কথা বললে তুমি বিরক্ত হও,𑄃𑄧 𑄟𑄚𑄪𑄌𑄴 𑄇𑄧𑄣𑄬 𑄖𑄪𑄃𑄨 𑄝𑄬𑄎𑄢𑄴।,Present
কোন দিন ভালো হ না,𑄇𑄧𑄚𑄧 𑄘𑄨𑄚𑄴 𑄞𑄣 𑄚𑄧 𑄃𑄧𑄝𑄧𑄋𑄴,Present
যোগা না করে আমাদের সাথে যোগা,𑄡𑄪𑄚𑄨 𑄚𑄧 𑄝𑄧𑄘𑄧𑄣𑄬 𑄃𑄟𑄳𑄦 𑄈𑄌𑄴𑄎𑄬𑄇𑄴𑄈𑄚𑄨।,Present
ওই গাঙের পানিগুলো কি শুনতেছো?,𑄃𑄰 𑄎𑄘𑄧𑄢𑄴 𑄣𑄮𑄢𑄴𑄝𑄱𑄃𑄪𑄚𑄴 𑄥𑄪𑄚𑄧𑄢𑄴𑄚𑄨?,Present
এই হিল জঙ্গলটা ডাকিও,"𑄃𑄰 𑄦𑄬𑄃𑄨𑄣𑄴 𑄏𑄢𑄚𑄨 𑄘𑄉𑄨 𑄇𑄧𑄢𑄴,",Present
ঐ কাপের পানিটা ডেকে যা,"𑄃𑄰 𑄇𑄛𑄴𑄖𑄬 𑄙𑄬𑄝𑄝𑄱 𑄘𑄉𑄨 𑄡𑄢𑄴,",Present
ফানুসটা কানে কানে বলে যা,"𑄜𑄃𑄮𑄚𑄧𑄢𑄴 𑄝𑄮𑄃𑄨𑄠𑄬𑄢𑄚𑄴 𑄇𑄚𑄬 𑄇𑄚𑄬 𑄇𑄮𑄃𑄨 𑄡𑄢𑄴,",Present
উে উে যতগুলো বই আছে সেগুলো রাখার নেই,𑄃𑄪𑄎𑄬 𑄡𑄧 𑄃𑄪𑄎𑄬 𑄡𑄧 𑄝𑄮𑄃𑄨 𑄗𑄬𑄝𑄢𑄴 𑄚𑄬𑄃𑄨𑄘𑄧 𑄃𑄧𑄇𑄴𑄖𑄧।,Present
জাতটা আছে বেইনটাতে,𑄎𑄖𑄴𑄖𑄱 𑄃𑄊𑄬 𑄝𑄬𑄚𑄣𑄖𑄴।,Present
"বিে, পাকিস্তান তোমাকে বািেছে ৫০ বছর","𑄝𑄳𑄢𑄨𑄑𑄨𑄌𑄴, 𑄛𑄇𑄨𑄥𑄴𑄖𑄚𑄴 𑄖𑄮𑄢𑄬𑄃𑄨 𑄝𑄋𑄴𑄣 𑄻𑄶 𑄝𑄧𑄏𑄧𑄢𑄴",Present
জাগা পাথরটি একটু একটু ঢালু,𑄎𑄘𑄧𑄢𑄴 𑄛𑄖𑄴𑄗𑄧𑄣𑄨 𑄃𑄬𑄟𑄴 𑄃𑄬𑄚𑄴 𑄣𑄢𑄴𑄟𑄢𑄴,Present
