chakma,bangla
𑄖𑄚𑄴 𑄚𑄧 𑄟𑄚𑄬𑄢𑄴 𑄃𑄢𑄴।,১. তার মানে আর মানে না ২. তার মানে নাই
𑄡𑄬 𑄉𑄏𑄧 𑄜𑄪𑄣𑄧𑄖𑄴𑄪𑄚𑄴 𑄜𑄧𑄣𑄴 𑄙𑄪𑄢𑄨,যে গাছের ফুল থেকে ফল বের হ
"𑄃𑄪𑄘𑄨𑄝𑄇𑄴 𑄚𑄪𑄠𑄱 𑄉𑄧𑄢𑄨 𑄉𑄌𑄴,",এক জাতী গাছ
𑄥𑄬 𑄉𑄌𑄴𑄥𑄪𑄚𑄴 𑄦𑄖𑄴 𑄘𑄨𑄣𑄬,এই গাছটি হাত দিলে
𑄘𑄋𑄴𑄘𑄋𑄳𑄠𑄬 𑄦𑄧𑄞𑄧 𑄦𑄨𑄣𑄴 𑄌𑄘𑄨𑄉𑄋𑄴।,ব ব হেছে এমন
𑄞𑄝𑄨 𑄌𑄧 𑄝𑄪𑄏𑄨 𑄌𑄧 𑄟𑄪𑄢𑄧𑄖𑄴𑄛𑄪𑄢𑄨,মনে হ আমি তোমার জন্য অপেক্ষা করছি
𑄟𑄨𑄣𑄬 𑄎𑄖𑄴𑄖𑄱 𑄝𑄎 𑄛𑄧𑄢𑄨𑄝𑄧,মেেদের নাচতে হবে
𑄃𑄨𑄠𑄚𑄴 𑄟𑄧𑄢𑄴 𑄝𑄬𑄉𑄧 𑄃𑄨𑄙𑄪 𑄖𑄪𑄘𑄨।,এখানে আমার বাবা থাকেন
"𑄇𑄨 𑄦𑄧𑄣𑄧 𑄎𑄪𑄟𑄴𑄴𑄟𑄧𑄝𑄨 𑄖𑄧𑄢𑄴,",কি হেছে তোমার
𑄝𑄚 𑄌𑄮𑄇𑄴 𑄛𑄬𑄣𑄳𑄦𑄬 𑄛𑄬𑄣𑄳𑄦𑄬 𑄌𑄬𑄃𑄨 𑄃𑄊𑄧𑄌𑄴,.শুধু চোখ মেলে তাকিে থাকে
𑄚𑄧 𑄣𑄧𑄢𑄬 𑄚𑄧 𑄌𑄧𑄢𑄬 𑄌𑄮𑄇𑄴 𑄢𑄋,নাচা না করে চোখ লাল করে তাকানো
𑄌𑄮𑄉𑄧 𑄛𑄘 𑄃𑄬𑄇𑄴 𑄚𑄧 𑄉𑄧𑄢𑄧𑄌𑄴।,চোখের পাতা একনাগাে করো
𑄇𑄨 𑄦𑄧𑄠𑄬 𑄖𑄧𑄢𑄴 𑄞𑄋𑄨 𑄇𑄧।,কি হেছে তোমার মাথা
"𑄖𑄪𑄃𑄨 𑄃𑄟𑄳𑄦 𑄖𑄬𑄢𑄧𑄝𑄱 𑄞𑄬𑄃𑄨𑄠𑄮𑄢𑄴 𑄃𑄬𑄇𑄴𑄇𑄱 𑄝𑄮𑄚𑄴,",তোমরা আমাদের তেরটা ভাইদের এক বোন
𑄇𑄧𑄙𑄧𑄇𑄴 𑄙𑄢𑄎𑄬 𑄛𑄬𑄣𑄧𑄋𑄴 𑄖𑄧𑄢𑄬,কত ব নাগাল পেলাম তোমাকে
𑄎𑄨𑄁𑄇𑄚𑄨 𑄝𑄎𑄨 𑄗𑄇𑄴𑄇𑄬,জীবন বেঁচে থাকে
𑄖𑄧𑄢𑄬 𑄃𑄟𑄨 𑄘𑄪𑄇𑄴 𑄘𑄨𑄝𑄢𑄴 𑄚𑄧 𑄌𑄬𑄃𑄨।,তোমাকে আমি দুঃখ দিতে চাই না
𑄝𑄢𑄴 𑄉𑄧𑄢𑄧𑄋𑄴 𑄖𑄧𑄟𑄢𑄬 𑄚𑄨𑄚𑄬𑄃𑄨,বার বার তোমাকে নিে যাই
"𑄛𑄨𑄖𑄴𑄗𑄨𑄟𑄨 𑄝𑄨𑄎𑄧𑄉𑄧𑄖𑄴, 𑄇𑄢𑄧 𑄇𑄧𑄝𑄣𑄧𑄖𑄴 𑄚𑄬𑄃𑄨 𑄖𑄬𑄢𑄧 𑄞𑄬𑄃𑄨।","পৃথিবীতে কেউ নেই, কার কথা আছে না"
𑄖𑄪𑄟𑄨 𑄞𑄬𑄃𑄨𑄠𑄬 𑄞𑄬𑄃𑄨𑄠𑄬 𑄉𑄧𑄢𑄧𑄢𑄴 𑄟𑄢 𑄟𑄢𑄨।,তোমরা ভে ভে মার খাও
𑄉𑄋𑄧𑄖𑄴 𑄡𑄬𑄣𑄬 𑄏𑄝𑄧𑄚𑄴 𑄟𑄧𑄢𑄬,গাঙে গেলে ঝাু মরে
𑄃𑄨𑄌𑄴𑄇𑄪𑄣𑄧𑄖𑄴 𑄡𑄬𑄣𑄬 𑄞𑄬𑄌𑄴𑄍𑄚𑄴,"এখানে গেলে বাতাস, বাু"
𑄘𑄢𑄴𑄝𑄱 𑄛𑄘 𑄇𑄧𑄎 𑄡𑄬𑄃𑄨 𑄚𑄧 𑄛𑄢𑄧𑄋𑄴,পাহাের পাতা কাটা যা না
𑄞𑄨𑄚𑄴 𑄎𑄖𑄴𑄖𑄱 𑄘𑄧𑄢𑄬।,ভিন্ন জাতের ভে
𑄚𑄨𑄛𑄧𑄢𑄴𑄞 𑄚𑄬𑄃𑄨 𑄟𑄧𑄢𑄴 𑄇𑄧𑄚𑄧 𑄎𑄉𑄖𑄴,.নিঃশব্দ কোনো জাগা
𑄞𑄋𑄨 𑄇𑄧𑄣𑄪𑄋𑄴 𑄖𑄧𑄟𑄢𑄬,ভাঙা কলকি দিে তোমাদেরকে ডাকতেছি
𑄃𑄬𑄝𑄢𑄴 𑄖𑄪𑄟𑄨 𑄇𑄨 𑄉𑄧𑄢𑄨𑄝?,এবার তোমরা কি গরিব
𑄚𑄧𑄠𑄴 𑄦𑄢𑄬𑄝 𑄖𑄧𑄟 𑄚𑄮𑄚𑄨𑄠𑄬 𑄝𑄮𑄚𑄴,তোমাদের নানিের বোন
𑄟𑄪𑄃𑄨 𑄌𑄋𑄴𑄟,পাহাের চূা
𑄝𑄁𑄣𑄘𑄬𑄏𑄧𑄖𑄴 𑄃𑄊𑄧𑄁 𑄞𑄨𑄣𑄨 𑄚𑄧𑄠𑄴 𑄟𑄪𑄃𑄨 𑄝𑄋𑄣𑄨,বাঙালিতে আছে নাকি আমি বাঙালি
𑄃𑄨𑄖𑄴𑄪𑄚𑄴 𑄝𑄬𑄌𑄴 𑄘𑄋𑄧𑄢𑄴 𑄌𑄨𑄚𑄴𑄛𑄧𑄌𑄳𑄠𑄬 𑄟𑄪𑄃𑄨 𑄎𑄪𑄟𑄴𑄧 𑄎𑄘𑄨,এখান থেকে বেশি ব চিনেছি আমি
𑄦𑄨𑄣𑄴 𑄌𑄘𑄨𑄉𑄋𑄧𑄢𑄴 𑄃𑄘𑄨𑄝𑄥𑄨।,এক জাতী বুনো ফল যা সবজি হিসেবে ব্যবহৃত হ
𑄟𑄪𑄃𑄨 𑄃𑄊𑄬 𑄞𑄌𑄴।,মুখে আছে ভাত
𑄟𑄪𑄃𑄨 𑄃𑄊𑄬 𑄃𑄧𑄏𑄛𑄖𑄴।,আমি আছি উপরে
𑄟𑄪𑄃𑄨 𑄴 𑄃𑄊𑄬 𑄢𑄨𑄘𑄨𑄥𑄪𑄙𑄮𑄟𑄴।,.আমার মুখে হাসি
𑄟𑄪𑄃𑄨 𑄃𑄊𑄬 𑄃𑄣𑄳𑄠𑄇𑄴।,আমি আছি একা
𑄝𑄬𑄇𑄴𑄈𑄚𑄨 𑄟𑄪𑄭 𑄖𑄧𑄟𑄖𑄴𑄪𑄚𑄴 𑄃𑄣𑄘।,সবগুলো আমি তোমার থেকে আলাদা
"𑄖𑄪𑄃𑄧 𑄇𑄨𑄖𑄴𑄬 𑄝𑄢𑄴𑄝𑄋𑄚𑄬, 𑄛𑄨𑄢𑄳𑄦𑄨𑄖𑄴𑄪𑄚𑄴 𑄛𑄨𑄢𑄳𑄦𑄨 𑄇𑄮𑄭 𑄡𑄧𑄢𑄴","তুমি কেন বার বার আসা যাওা করো,পিঁপা থেকে দূরে দূরে কথা বলতেছ"
𑄝𑄁𑄣𑄘𑄬𑄏𑄧𑄖𑄴 𑄡𑄢 𑄃𑄊𑄨 𑄃𑄟𑄨 𑄝𑄬𑄇𑄴𑄪𑄚𑄴 𑄝𑄋𑄣𑄨।,বাঙালিতে যারা আছে আমরা সবাই বাঙালি
"𑄟𑄪𑄭 𑄃𑄬𑄣𑄪𑄁 𑄥𑄥𑄧𑄇𑄴 𑄎𑄖𑄴,",পাহাে আসলাম শাকের জাত
𑄘𑄬𑄌𑄴 𑄃𑄬𑄣𑄧 𑄟𑄧𑄢𑄴।,আমার দেশ এসেছে
𑄥𑄧𑄟𑄧𑄠𑄧𑄢𑄴 𑄉𑄧𑄋𑄢𑄬 𑄃𑄨𑄇𑄳𑄠𑄬 𑄟𑄪𑄭 𑄢𑄧𑄚𑄴𑄦𑄨𑄚𑄴,সম নদীকে এখন আমি রেছি
𑄥𑄬𑄚𑄬 𑄇𑄨 𑄖𑄪𑄟𑄨 𑄃𑄧𑄚𑄴𑄥𑄪𑄢𑄴 𑄝𑄬𑄋 𑄌𑄮𑄉𑄬 𑄌𑄬𑄝?,সেকারণে কি তোমরা আংটা বাঁকা করে তাকা?
"𑄢𑄧𑄚𑄴𑄦𑄨𑄚𑄴 𑄚𑄧𑄠𑄴,","রণক্ষেত্র না, যুদ্ধক্ষেত্র"
𑄢𑄧𑄚𑄴 𑄇𑄝𑄬 𑄟𑄧𑄢𑄴।,আমার রোদ পোহাতে ইচ্ছে করে
"𑄟𑄧𑄢𑄴𑄃𑄮 𑄘𑄧 𑄣𑄮 𑄃𑄊𑄬, 𑄃𑄊𑄬 𑄖𑄧𑄟 𑄥𑄚𑄴","আমার তো ভাই আছে,তোমার ভাই"
"𑄌𑄮𑄇𑄴, 𑄇𑄚𑄴, 𑄦𑄖𑄴 𑄗𑄬𑄋𑄴 𑄡 𑄖𑄧𑄟𑄢𑄴 𑄃𑄊𑄬।","চোখ,কান,হাতের পা যাওা যা তোমার"
"𑄝𑄚 𑄚𑄧𑄠𑄴 𑄟𑄪𑄭 𑄝𑄬𑄎𑄧𑄝𑄚𑄴, 𑄇𑄧𑄙 𑄘𑄨𑄚𑄬𑄭 𑄇𑄢𑄧𑄢𑄬 𑄚𑄧 𑄗𑄧𑄉𑄁।","শুধু আমি বোই করি, কথা শুধু কাকে রাখি না"
𑄟𑄪𑄭 𑄌𑄋𑄴𑄟।,পাহাের চূা
"𑄡𑄬𑄘𑄧𑄇𑄴 𑄘𑄨𑄚𑄴 𑄗𑄬𑄝𑄧 𑄇𑄬𑄃𑄮𑄇𑄳𑄢𑄧𑄓𑄧𑄁, 𑄜𑄪𑄢𑄮𑄟𑄮𑄚𑄴, 𑄃𑄣𑄪𑄖𑄨𑄣",যত দিন থাকবে কেক দিন থাকবে কেকদিন
"𑄡𑄬𑄘𑄧𑄇𑄴 𑄉𑄧𑄋𑄬𑄝𑄧 𑄌𑄬𑄋𑄬, 𑄟𑄨𑄋𑄨𑄚𑄨, 𑄥𑄧𑄁𑄈𑄧, 𑄜𑄬𑄚𑄨,","এত করে চেে,মিঁষি,সখী,ফেনি"
"𑄟𑄖𑄟𑄪𑄦𑄪𑄢𑄨 𑄃 𑄝𑄧𑄢𑄴𑄉𑄁, 𑄥𑄬𑄘𑄧𑄇𑄴 𑄘𑄨𑄚𑄴 𑄥𑄧𑄁 𑄗𑄬𑄭𑄟𑄴,","মািটা অনেক ব,এত দিন পর্যন্ত থাকবো"
"𑄥𑄪𑄚𑄧 𑄥𑄪𑄚𑄧 𑄃𑄧𑄱 𑄎𑄘𑄧𑄢𑄴 𑄚𑄚𑄪 𑄇𑄮𑄣𑄬𑄠𑄳𑄠,",.সুসুে ও জাগা নাাচাা করতেছে
𑄖𑄧𑄟 𑄉𑄨𑄢𑄨𑄖𑄴 𑄇𑄧𑄙𑄧𑄇𑄴 𑄛𑄧𑄢𑄨 𑄃𑄊𑄧𑄚𑄴,তোমাদের বাসা কত পা আছে
𑄚𑄬𑄃𑄨𑄠𑄳𑄠 𑄚𑄘𑄧𑄋𑄴𑄍𑄢 𑄟𑄚𑄴𑄎𑄮𑄢𑄴 𑄦𑄢𑄴,নেই এমন নদীর মাছের হা
𑄉𑄋𑄴 𑄝𑄮𑄃𑄨 𑄡𑄬𑄣𑄧 𑄌𑄮𑄉𑄧 𑄛𑄚𑄨𑄠𑄬,গাঙে ডুবে গেল চোখের পানি
𑄖𑄢𑄴 𑄃𑄨𑄎𑄬𑄛𑄴 𑄖𑄪𑄟𑄨 𑄇𑄨 𑄛𑄧𑄢𑄴?,তার অভ্যাস তুমি কি পর?
𑄞𑄋𑄨 𑄘𑄨𑄝 𑄇𑄧𑄙𑄧𑄇𑄴-,ভেঙে দো কেক
"𑄘𑄮𑄣𑄴 𑄥𑄮𑄚𑄢𑄴 𑄥𑄧𑄋𑄴𑄥𑄢𑄴,",সুন্দর সোনার টুকরা
𑄞𑄋𑄨 𑄉𑄬𑄣𑄧 𑄇𑄧𑄙𑄧𑄇𑄴-,ভেঙে গেল কেক
"𑄥𑄧𑄝𑄧𑄚𑄧𑄢𑄴 𑄢𑄬𑄉, 𑄃𑄏 𑄃 𑄇𑄮𑄌𑄴𑄛𑄚।","স্বপ্ন দেখা,আসা"
𑄃𑄢𑄴 𑄇𑄧𑄙𑄧𑄇𑄴?,আরও কত?
𑄙𑄧𑄚𑄴𑄛𑄪𑄘𑄨𑄖𑄴𑄖𑄪𑄚𑄴 𑄇𑄢𑄨 𑄚𑄨𑄝 𑄢𑄙𑄟𑄧𑄚𑄧𑄢𑄬,ধনপুতুল থেকে কেটে নিে যাওা রাধাকে
𑄖𑄢𑄴 𑄃𑄨𑄎𑄬𑄛𑄴 𑄖𑄪𑄟𑄨 𑄇𑄨 𑄘𑄨𑄝?,তার রাগ তুমি কি দিবে?
𑄃𑄧𑄱 𑄣𑄧𑄢𑄴𑄝𑄱𑄃𑄪𑄚𑄴 𑄥𑄪𑄚𑄧-,.ও লারগুলো সুঁচালো
"𑄖𑄪𑄟𑄨 𑄏𑄢𑄨 𑄜𑄬𑄣𑄧 𑄦𑄞𑄨𑄣𑄳𑄠𑄌𑄴, 𑄖𑄧𑄚𑄧𑄇𑄴 𑄉𑄧𑄢𑄧 𑄟𑄧𑄚𑄴","তুমি জঙ্গল পরিষ্কার করো, সুন্দর করো মন"
"𑄉𑄪𑄌𑄴 𑄘𑄪𑄃𑄧, 𑄞𑄖𑄴𑄟𑄧𑄎 𑄛𑄪𑄚𑄧𑄖𑄴 𑄝𑄚𑄧",".গবাদিপশু,ভাতের পাছাটা পঁচা"
𑄦𑄨𑄣𑄧𑄢𑄴 𑄟𑄘𑄨 𑄈𑄧𑄎𑄣𑄴 𑄝𑄟𑄴 𑄝𑄪𑄏𑄮𑄘𑄮𑄇𑄴 𑄖𑄢।,তারা হিল মাটি পরিষ্কার করতেছে
"𑄊𑄧𑄢𑄧 𑄥𑄪𑄖𑄴𑄖𑄪𑄢𑄬 𑄉𑄧𑄢𑄧 𑄣𑄬𑄋𑄴, 𑄥𑄖𑄴 𑄚𑄣𑄴 𑄥𑄪𑄘𑄧 𑄍𑄨𑄚𑄧","বাির সুতে করা লেং, সাত নাল সুতা ছিঁেছে"
𑄃𑄨𑄖𑄴𑄧𑄱 𑄇𑄪𑄘𑄪𑄟𑄴 𑄦𑄧𑄣𑄬𑄠𑄮 𑄎𑄘𑄧𑄢𑄴 𑄥𑄪𑄖𑄴𑄖𑄪𑄢𑄪 𑄖𑄢,এখান থেকে দূরে হলেও তারা দৌাদৌি করে
𑄚𑄧 𑄘𑄬𑄊𑄬𑄃𑄮 𑄘𑄧𑄠𑄬-𑄟𑄬𑄠𑄳𑄦𑄬 𑄛𑄧𑄢𑄳𑄦𑄢𑄴 𑄖𑄬𑄝𑄨𑄣𑄴 𑄃𑄨𑄢𑄧,না দেখলেও দা-মাা পে
𑄃𑄬𑄉𑄟𑄧𑄚𑄬 𑄎𑄘𑄧𑄢𑄴' 𑄥𑄪𑄖𑄴𑄖𑄪𑄢𑄪𑄢𑄬 𑄚𑄨𑄟𑄎𑄢 𑄉𑄧𑄢𑄧।,কিছুক্ষণ পর পর দৌাদৌি করা
𑄇𑄨 𑄃𑄢𑄴 𑄣𑄨𑄊𑄨𑄟𑄴,কি আর লেখা
𑄇𑄨 𑄃𑄢𑄴 𑄣𑄨𑄊𑄨𑄟𑄴?,কি আরও লিখবো?
𑄟𑄪𑄠𑄧𑄖𑄴 𑄞𑄌𑄴 𑄚𑄬𑄃𑄨।,আমি ভাত খাই না
𑄇𑄧𑄣𑄧𑄟𑄴 𑄙𑄪𑄢𑄨 𑄚𑄧 𑄛𑄢𑄧𑄁 𑄦𑄖𑄴 𑄉𑄨𑄢𑄴𑄉𑄨𑄢𑄃𑄨।,কলম খুলতে পারি না হাত দিে
𑄌𑄮𑄉𑄧𑄛𑄚𑄨𑄠𑄬 𑄇𑄨𑄌𑄴𑄍𑄪 𑄚𑄧 𑄘𑄬𑄊𑄧𑄋𑄴।,চোখের পানি কিছু দেখতেছি না
"𑄝𑄚 𑄢𑄧𑄚𑄴 𑄇𑄝𑄬,",শুধু রোদ পোহা
"𑄌𑄮𑄇𑄴 𑄗𑄬𑄚𑄬𑄃𑄨 𑄇𑄚𑄴,",চোখ বন্ধ করে কান্না
𑄟𑄪 𑄗𑄬𑄚𑄬𑄃𑄨 𑄝𑄪𑄛𑄴।,মুখ থেকে গন্ধ বের হওা
𑄃𑄟𑄨 𑄇𑄨 𑄟𑄚𑄪𑄌𑄴?,আমরা কি মানুষ?
𑄟𑄚𑄪𑄌𑄴 𑄇𑄧𑄣𑄬 𑄃𑄨𑄥𑄳𑄦𑄧𑄢𑄴 𑄝𑄬𑄎𑄢𑄴,মানুষ কথা বললে মেজাজ খারাপ
𑄃𑄧 𑄟𑄚𑄪𑄌𑄴 𑄇𑄧𑄣𑄬 𑄖𑄪𑄃𑄨 𑄝𑄬𑄎𑄢𑄴।,এক লোক কথা বললে তুমি বিরক্ত হও
𑄇𑄧𑄚𑄧 𑄘𑄨𑄚𑄴 𑄞𑄣 𑄚𑄧 𑄃𑄧𑄝𑄧𑄋𑄴,কোন দিন ভালো হ না
𑄡𑄪𑄚𑄨 𑄚𑄧 𑄝𑄧𑄘𑄧𑄣𑄬 𑄃𑄟𑄳𑄦 𑄈𑄌𑄴𑄎𑄬𑄇𑄴𑄈𑄚𑄨।,যোগা না করে আমাদের সাথে যোগা
𑄃𑄰 𑄎𑄘𑄧𑄢𑄴 𑄣𑄮𑄢𑄴𑄝𑄱𑄃𑄪𑄚𑄴 𑄥𑄪𑄚𑄧𑄢𑄴𑄚𑄨?,ওই গাঙের পানিগুলো কি শুনতেছো?
"𑄃𑄰 𑄦𑄬𑄃𑄨𑄣𑄴 𑄏𑄢𑄚𑄨 𑄘𑄉𑄨 𑄇𑄧𑄢𑄴,",এই হিল জঙ্গলটা ডাকিও
"𑄃𑄰 𑄇𑄛𑄴𑄖𑄬 𑄙𑄬𑄝𑄝𑄱 𑄘𑄉𑄨 𑄡𑄢𑄴,",ঐ কাপের পানিটা ডেকে যা
"𑄜𑄃𑄮𑄚𑄧𑄢𑄴 𑄝𑄮𑄃𑄨𑄠𑄬𑄢𑄚𑄴 𑄇𑄚𑄬 𑄇𑄚𑄬 𑄇𑄮𑄃𑄨 𑄡𑄢𑄴,",ফানুসটা কানে কানে বলে যা
𑄃𑄪𑄎𑄬 𑄡𑄧 𑄃𑄪𑄎𑄬 𑄡𑄧 𑄝𑄮𑄃𑄨 𑄗𑄬𑄝𑄢𑄴 𑄚𑄬𑄃𑄨𑄘𑄧 𑄃𑄧𑄇𑄴𑄖𑄧।,উে উে যতগুলো বই আছে সেগুলো রাখার নেই
𑄎𑄖𑄴𑄖𑄱 𑄃𑄊𑄬 𑄝𑄬𑄚𑄣𑄖𑄴।,জাতটা আছে বেইনটাতে
"𑄝𑄳𑄢𑄨𑄑𑄨𑄌𑄴, 𑄛𑄇𑄨𑄥𑄴𑄖𑄚𑄴 𑄖𑄮𑄢𑄬𑄃𑄨 𑄝𑄋𑄴𑄣 𑄻𑄶 𑄝𑄧𑄏𑄧𑄢𑄴","বিে, পাকিস্তান তোমাকে বািেছে ৫০ বছর"
𑄎𑄘𑄧𑄢𑄴 𑄛𑄖𑄴𑄗𑄧𑄣𑄨 𑄃𑄬𑄟𑄴 𑄃𑄬𑄚𑄴 𑄣𑄢𑄴𑄟𑄢𑄴,জাগা পাথরটি একটু একটু ঢালু
"𑄌𑄬𑄢𑄴 𑄘𑄧𑄜 𑄘𑄝𑄨 𑄚𑄧 𑄜𑄬𑄣𑄧𑄋𑄴 𑄃𑄬𑄡𑄧,",চেের দফা গুলো শেষ হ না
"𑄎𑄖𑄴𑄖𑄱 𑄦𑄧𑄣𑄧 𑄇𑄧𑄖𑄴𑄖 𑄇𑄧𑄖𑄴𑄖, 𑄞𑄬𑄘 𑄞𑄬𑄘","জাতিটা হলো কা কা, ভেদ করা"
