Fourth Division,First Division
শাকের আগাটি রোগাক্রান্ত হয়ে কোকড়ানো হয়ে গেছে।,𑄥𑄉𑄧 𑄃𑄉𑄞𑄮 𑄛𑄨𑄢𑄬 𑄙𑄧𑄢𑄨𑄚𑄬𑄠𑄴 𑄉𑄧𑄘 𑄇𑄋𑄪𑄢𑄳𑄦𑄪𑄇𑄴 𑄝𑄧𑄭𑄖𑄴𑄗𑄬𑅁
মেরুদণ্ডের কাটা,𑄇𑄋𑄬𑄣𑄮 𑄇𑄘
মেরুদণ্ডের ব্যথা,𑄇𑄋𑄬𑄣𑄴 𑄛𑄨𑄢𑄬
মেরুদণ্ড লম্বা,𑄇𑄋𑄬𑄣𑄴 𑄣𑄟𑄴𑄝
মেরুদণ্ড ভাঙা কষ্ট,𑄇𑄋𑄬𑄣𑄴 𑄞𑄋 𑄘𑄪𑄇𑄴
<,𑄥𑄨𑄝𑄳𑄦𑄬 𑄇𑄨 𑄇𑄋𑄬𑄣𑄬𑄭𑄖𑄴𑄗𑄬 𑄉𑄧𑄢𑄳𑄦𑄨 𑄉𑄚𑄴 𑄝𑄏𑄬 𑄘𑄬𑄢𑄴 𑄇𑄨𑄎𑄬𑄚𑄨 𑄘𑄨𑄝𑄪𑄌𑄴𑄍𑄬 𑄢𑄮𑄘𑄮 𑄟𑄳𑄦𑄠𑄴
তার কণ্ঠটি একদম কর্কশ লাগছে।,𑄥𑄨𑄝𑄳𑄦𑄬 𑄇𑄨 𑄇𑄋𑄬𑄣𑄬𑄭𑄖𑄴𑄗𑄬 𑄉𑄧𑄢𑄳𑄦𑄨 𑄉𑄚𑄴 𑄝𑄏𑄬 𑄘𑄬𑄢𑄴 𑄇𑄨𑄎𑄬𑄚𑄨 𑄘𑄨𑄝𑄪𑄌𑄴𑄍𑄬 𑄢𑄮𑄘𑄮 𑄟𑄳𑄦𑄠𑄴
শুকিয়ে পুরোটা শক্ত হয়ে গেছে সেই শরীর,𑄌𑄮𑄉𑄬𑄚𑄳𑄦𑄬𑄠𑄴 𑄉𑄧𑄘 𑄇𑄌𑄴𑄗𑄧 𑄦𑄪𑄠𑄳𑄦𑄬 𑄥𑄬 𑄇𑄨𑄠𑄬𑅁
অতি চালাকে পথের পাশে পায়খানা করা,𑄃𑄙𑄨𑄇𑄴 𑄌𑄣𑄊𑄬 𑄛𑄧𑄙𑄧 𑄇𑄎𑄖𑄴 𑄦𑄉𑄚
"কাঁচা নোংরা আমগুলো কেন খাচ্ছো, কী জানি",𑄇𑄎 𑄇𑄧𑄎𑄧𑄢 𑄃𑄟𑄳𑄦𑄪𑄚𑄴 𑄇𑄨𑄖𑄴𑄗𑄬𑄠𑄴 𑄈𑄧𑄂𑄢𑄴 𑄇𑄨𑄎𑄬𑄚𑄨
কাঁচা কাঁচা বরই,𑄇𑄎 𑄇𑄎 𑄝𑄧𑄢𑄳𑄦𑄮𑄠
কাঁচা পাকা চুলগুলো তার,𑄇𑄎 𑄛𑄉𑄚𑄳𑄦 𑄌𑄪𑄣𑄚𑄳𑄦𑄨 𑄖𑄢𑄴
৩. সেটি তো একদম মিথ্যা কথা বললো গিয়ে,𑄹. 𑄥𑄨𑄠𑄳𑄦𑄬𑄚𑄴 𑄙𑄧 𑄇𑄎 𑄟𑄨𑄏𑄬 𑄇𑄧𑄙 𑄦𑄧𑄣𑄧𑄉𑄮𑄠𑄴
তাকে একদম আমার মামার মতো দেখতেছি।,𑄖𑄢𑄳𑄦𑄬 𑄇𑄎 𑄟𑄧 𑄟𑄭𑄪𑄣𑄴𑄣𑄬𑄞𑄮 𑄙𑄧𑄇𑄴𑄇𑄬 𑄘𑄬𑄊𑄧𑄋𑄧𑄖𑄴𑄖𑄬𑅁
ঘর পরিষ্কার করা,𑄊𑄧𑄢𑄴 𑄇𑄎𑄚
উঠান পরিষ্কার করা,𑄃𑄪𑄙𑄮𑄚𑄴 𑄇𑄎𑄚
আমি না আসার আগে ঘরটি পরিষ্কার করে রেখো,𑄟𑄪𑄠𑄴 𑄚𑄳𑄦𑄧 𑄃𑄬𑄖𑄴𑄗𑄬 𑄊𑄧𑄢𑄚𑄴 𑄇𑄎𑄬 𑄇𑄎𑄭 𑄗𑄮𑄌𑄴𑅁
১. সে সারারাত খুক খুক করে কাশি দিচ্ছিল,𑄷. 𑄥𑄨𑄝𑄬 𑄢𑄬𑄖𑄴𑄗𑄮𑄝𑄮 𑄇𑄪𑄇𑄴𑄇𑄪𑄇𑄴 𑄇𑄎𑄬𑄖𑄴𑄗𑄬
"২. পরীক্ষা কাছে আসতেছে, ভালোভাবে পড়তে হবে","𑄸. 𑄛𑄧𑄢𑄨𑄇𑄴𑄈𑄬 𑄇𑄏𑄣𑄴𑄣𑄨, 𑄉𑄧𑄟𑄬 𑄛𑄧𑄢𑄳𑄦 𑄛𑄧𑄢𑄨𑄝𑄮𑅁"
নোংরা হওয়া/করা: জামাটি নোংরা হয়েছে,𑄇𑄎𑄧𑄢𑄴 𑄦𑄧𑄚/𑄉𑄧𑄢𑄚𑄳𑄦: 𑄥𑄪𑄣𑄪𑄟𑄴𑄟𑄮 𑄇𑄎𑄧𑄢𑄴 𑄦𑄪𑄠𑄬
সে মুহূর্তেই ঘরটি অপরিষ্কার করে ফেলে,𑄥𑄨𑄝𑄬 𑄈𑄇𑄴𑄇𑄬 𑄊𑄧𑄢𑄚𑄴 𑄇𑄎𑄧𑄢𑄴 𑄉𑄧𑄢𑄳𑄦𑄬𑅁
চোখের কাজল,𑄌𑄮𑄊𑄮 𑄇𑄎𑄧𑄣𑄴
তার চোখের কাজলগুলো বড় বড় আছে।,𑄖 𑄌𑄮𑄊𑄮 𑄇𑄎𑄧𑄣𑄚𑄳𑄦𑄨 𑄘𑄋𑄳𑄦𑄧𑄢𑄴 𑄘𑄋𑄳𑄦𑄧𑄢𑄴 𑄃𑄊𑄬𑅁
কাঁচা হলুদ,𑄇𑄎𑄨 𑄦𑄧𑄣𑄮𑄖𑄴
তাকে দড়ি দিয়ে বাঁধো তাহলে।,𑄖𑄢𑄳𑄦𑄬 𑄇𑄏𑄨𑄃𑄚𑄴𑄚𑄮𑄠𑄴 𑄝𑄚𑄳𑄦𑄧 𑄥𑄣𑄳𑄦𑄬𑅁
হালকা-পাতলা শরীরবিশিষ্ট মানুষ,𑄇𑄏𑄨 𑄛𑄘𑄧𑄣𑄴 𑄟𑄚𑄳𑄦𑄪𑄌𑄴
ঝাঁঝালো মদ,𑄷. 𑄇𑄖𑄴𑄇𑄭𑄖𑄴𑄖𑄬 𑄟𑄧𑄖𑄴
২. তীব্র টক/ঝাল,𑄸. 𑄇𑄖𑄴𑄇𑄭𑄖𑄴𑄖𑄬 𑄈𑄧𑄢𑄧/𑄏𑄣𑄴
তীব্র মিষ্টি কথা,𑄇𑄖𑄴𑄇𑄭𑄖𑄴𑄖𑄬 𑄟𑄨𑄏𑄬 𑄇𑄧𑄙
বন থেকে বাঁশ-গাছ কাটতে যাওয়া,𑄇𑄖𑄴𑄖𑄧𑄚𑄧𑄖𑄴 𑄎𑄚
প্রায় মাস হলো তারা বন থেকে বাঁশ-গাছ কাটতে গেছে,𑄖𑄢𑄳𑄦 𑄇𑄖𑄴𑄖𑄧𑄚𑄧𑄖𑄴 𑄎𑄨𑄠𑄮𑄚𑄴𑄙𑄬 𑄟𑄳𑄦𑄌𑄴𑄟𑄪𑄣𑄮 𑄦𑄧𑄣𑄧
তারা কবে বন থেকে বাঁশ-গাছ কেটে ফিরবে/আসবে?,𑄖𑄢𑄳𑄦 𑄇𑄧𑄟𑄧𑄣𑄬 𑄇𑄖𑄴𑄖𑄧𑄚𑄧𑄖𑄴𑄗𑄪𑄚𑄴 𑄜𑄨𑄢𑄨𑄝𑄇𑄴𑄇𑄮𑄠𑄴 / 𑄃𑄬𑄝𑄇𑄴𑄈𑄮𑄠𑄴?
পাকনা কাঁঠাল,𑄇𑄖𑄴𑄗𑄮𑄣𑄴 𑄛𑄉𑄚𑄳𑄦
কাঁঠালের মুচি,𑄇𑄖𑄴𑄖𑄮𑄣𑄳𑄦𑄮 𑄟𑄪𑄏𑄨
কাঁটা ফোটানো,𑄇𑄘 𑄜𑄪𑄘𑄚
বরই কাঁটা,𑄝𑄮𑄢𑄳𑄦𑄮𑄠𑄴 𑄇𑄘
শিকলের কাঁটা,𑄥𑄨𑄋𑄮𑄣𑄮 𑄇𑄘
কাঁটার মত সুচালো।,𑄇𑄘 𑄙𑄧𑄇𑄴𑄇𑄬 𑄌𑄪𑄌𑄴𑄌𑄬𑄁𑅁
গাদাগাদা মানুষ,𑄟𑄚𑄳𑄦𑄪𑄌𑄴 𑄇𑄘𑄇𑄘
গাদাগাদা আর্মি এসেছে,𑄇𑄘𑄇𑄘 𑄃𑄢𑄴𑄟𑄳𑄦𑄨 𑄃𑄨𑄌𑄴𑄍𑄮𑄚𑄴𑄘𑄬𑅁
জামাটি/প্যান্টটি আঁট হয়েছে।,𑄥𑄪𑄣𑄪𑄟𑄴𑄟𑄮/𑄛𑄳𑄦𑄬𑄚𑄴𑄚𑄮 𑄇𑄘𑄇𑄭𑄖𑄴𑄖𑄬 𑄦𑄪𑄠𑄬𑅁
জীবন কাটানো,𑄎𑄨𑄁𑄇𑄚𑄨 𑄇𑄘𑄚
সময় কাটানো,𑄥𑄧𑄟𑄧𑄠𑄴 𑄇𑄘𑄚
কোন রকমে জীবন কাটানো,𑄎𑄨𑄁𑄇𑄚𑄨 𑄇𑄘𑄚 𑄃𑄳𑄦𑄠𑄴 𑄇𑄧𑄚𑄳𑄦𑄧 𑄝𑄝𑄧𑄘𑄬
কানায় কানায় বিপদটি কাটিয়ে উঠতে পারলাম,𑄝𑄧𑄣𑄬 𑄝𑄧𑄣𑄬 𑄝𑄨𑄛𑄧𑄖𑄴𑄗𑄚𑄴 𑄇𑄘𑄬 𑄛𑄣𑄴𑄣𑄪𑄁𑄉𑄬
এগুলো সহজে কাটানো যায় নাকি?,𑄥𑄨𑄠𑄬𑄚𑄳𑄦𑄨 𑄈𑄢𑄳𑄦 𑄇𑄨 𑄇𑄘 𑄎𑄭𑄘𑄬 𑄚𑄳𑄦𑄬?
কাদামারেচ শাক,𑄇𑄘𑄟𑄢𑄳𑄦𑄬𑄌𑄴 𑄥𑄇𑄴
আমলকি শরবত খেলে সুস্বাদু,𑄇𑄘𑄟𑄳𑄦𑄧𑄣 𑄥𑄧𑄢𑄴𑄝𑄧𑄖𑄴 𑄈𑄬𑄣𑄬 𑄥𑄪𑄃𑄮𑄖𑄴𑅁
কাতাল মাছের মাথা বড়,𑄇𑄘𑄣𑄴 𑄟𑄏𑄧 𑄥𑄨𑄢𑄬 𑄘𑄋𑄳𑄦𑄧𑄢𑄴𑅁
শেষ সময়ে,𑄥𑄬𑄌𑄴 𑄇𑄘𑄣𑄴𑄣𑄬
কার্তিক মাসের চাঁদের আলো,𑄇𑄘𑄨 𑄟𑄳𑄦𑄌𑄴𑄌𑄬 𑄎𑄪𑄚𑄴 𑄛𑄳𑄦𑄧𑄢𑄴
কানের ছিদ্র,𑄇𑄚𑄧 𑄇𑄚
বেড়ার ছিদ্র,𑄝𑄬𑄢𑄳𑄦𑄧 𑄇𑄚
সে যে গর্জে গর্জে কান্না করছে,𑄥𑄨𑄝𑄬 𑄎𑄬 𑄉𑄪𑄎𑄪𑄢𑄨 𑄉𑄪𑄎𑄪𑄢𑄨 𑄇𑄚𑄬𑄢𑄴
৩. তার কান্নাগুলো একদম শুনতে পারতেছি না আমি,𑄹. 𑄖 𑄇𑄚𑄚𑄃𑄳𑄦𑄚𑄴 𑄃𑄨𑄏𑄪 𑄥𑄪𑄚𑄨 𑄚𑄧 𑄛𑄢𑄧𑄋𑄧𑄖𑄴𑄗𑄬 𑄟𑄪𑄠𑄴
পাহাড় কান্না করছে,𑄟𑄮𑄚𑄴𑄚𑄳𑄦𑄮 𑄇𑄚𑄬𑄢𑄴𑅁
কানের পর্দা,𑄇𑄚𑄧 𑄛𑄘
কানের ছিদ্র,𑄇𑄚𑄧 𑄇𑄚/𑄞𑄬𑄘
কানের ময়লা,𑄇𑄚𑄧 𑄊𑄪
তীব্র রোদ,𑄇𑄚𑄴 𑄛𑄉𑄚𑄳𑄦 𑄢𑄮𑄖𑄴
কানের দুল,𑄇𑄚𑄴 𑄜𑄪𑄣𑄴
অন্ধ মানুষ,𑄸. 𑄇𑄚𑄴 𑄟𑄚𑄳𑄦𑄪𑄌𑄴
আসলেই শব্দ দূষিত হয়েছে তার গানটি শুনতে শুনতে,𑄎𑄧𑄘𑄧𑄝𑄧𑄘𑄬 𑄇𑄚𑄴𑄇𑄨𑄣𑄨𑄖𑄴𑄗𑄬 𑄦𑄪𑄠𑄳𑄦𑄬 𑄖 𑄉𑄚𑄴𑄚𑄳𑄦𑄮 𑄥𑄪𑄚𑄮𑄘𑄬 𑄥𑄪𑄚𑄮𑄘𑄬
কান ঝাঁপিয়ে এক থাপ্পর,𑄇𑄚𑄴𑄎𑄝 𑄌𑄳𑄦𑄬𑄠𑄴 𑄃𑄬𑄇𑄴 𑄌𑄪𑄉𑄮𑄢𑄴
১. কাপড় ফাটা,𑄷. 𑄇𑄚𑄨 𑄜𑄘
ফাটা কাপড়,𑄜𑄘 𑄇𑄚𑄨
গামছা কাপড়,𑄉𑄚𑄴𑄏 𑄇𑄚𑄨
২. কলা কানি,𑄸. 𑄇𑄧𑄣 𑄇𑄚𑄨
এক কানি কলা,𑄃𑄬𑄇𑄴 𑄇𑄚𑄨 𑄇𑄧𑄣
কানুনগোটি অনেক বেশি ঘুষ খায়।,𑄇𑄚𑄪𑄁𑄉𑄮𑄞𑄮 𑄃𑄧𑄟𑄧𑄉𑄧𑄘𑄧 𑄊𑄪𑄌𑄴 𑄈𑄭𑅁
১. কানায় কানায় সমান হতে হবে,𑄷. 𑄇𑄚𑄳𑄦𑄠𑄴 𑄇𑄚𑄳𑄦𑄠𑄴 𑄥𑄧𑄁 𑄟𑄨𑄣 𑄛𑄧𑄢𑄨𑄝𑄮
বস্তাটি কাঁধে নাও,𑄝𑄧𑄌𑄴𑄗𑄝𑄮 𑄇𑄚𑄳𑄦𑄖𑄴 𑄣𑄧
কাঁধে তোলা/নেওয়া/বসানো,𑄇𑄚𑄳𑄦𑄖𑄴 𑄖𑄪𑄣𑄚𑄳𑄦/𑄣𑄧𑄚/𑄝𑄧𑄎𑄚𑄳𑄦
১. চায়ের কাপ,𑄷. 𑄌𑄳𑄦 𑄇𑄛𑄴
প্লাস্টিকের কাপ,𑄛𑄬𑄣𑄌𑄴𑄖𑄨𑄊𑄮 𑄇𑄛𑄴
১. বিয়ে মেজবানে কাটাকাটি করলে পাপ হয়,𑄷. 𑄟𑄬𑄣 𑄟𑄬𑄖𑄴𑄝𑄚𑄧𑄖𑄴 𑄇𑄝𑄇𑄪𑄘𑄮 𑄉𑄧𑄣𑄴𑄣𑄳𑄦𑄬 𑄛𑄛𑄴 𑄦𑄧𑄠𑄴
২. অপারেশন মানে হলো কাটাকাটি,𑄸. 𑄃𑄧𑄛𑄢𑄬𑄥𑄧𑄚𑄴 𑄟𑄚𑄳𑄦𑄬 𑄦𑄧𑄣𑄧𑄘𑄬 𑄇𑄝𑄇𑄪𑄘𑄮
সেই ভাগ দিয়ে আমার কিছুই হবে না,𑄸. 𑄥𑄬 𑄞𑄪𑄇𑄴𑄇𑄮𑄠𑄴 𑄟𑄧𑄢𑄴 𑄈𑄎𑄨𑄠𑄳𑄦𑄮 𑄚𑄧 𑄦𑄧𑄠𑄴
গাছটিকে পরিস্কার করলে সুন্দর লাগবে,𑄉𑄌𑄴𑄍𑄮𑄢𑄬 𑄈𑄎𑄨 𑄘𑄨𑄣𑄳𑄦𑄬 𑄘𑄮𑄣𑄴 𑄦𑄧𑄝𑄧𑅁
খাতা কলম নাও,𑄈𑄖 𑄇𑄧𑄣𑄧𑄟𑄴 𑄣𑄧
খাাতায় কি লেখা আছে?,𑄈𑄖𑄝𑄮𑄖𑄴 𑄇𑄨 𑄣𑄨𑄇𑄴𑄈𑄬 𑄃𑄊𑄬?
বক্স খাট,𑄷. 𑄝𑄧𑄇𑄴𑄥𑄴 𑄈𑄖𑄴
তুমি খাটে শুবা আমি মাটিতে ঘুমাব,"𑄖𑄪𑄠𑄴 𑄈𑄘𑄧𑄖𑄴 𑄛𑄧𑄢𑄨𑄝𑄬, 𑄟𑄪𑄠𑄴 𑄟𑄘𑄨𑄖𑄴 𑄊𑄪𑄟𑄴 𑄎𑄬𑄟𑄴"
উঠানে একদিকে আকা-বাকা হয়েছে,𑄃𑄪𑄙𑄮𑄚𑄚𑄴 𑄃𑄬𑄇𑄴 𑄇𑄨𑄖𑄴𑄖𑄬𑄚𑄴𑄚𑄳𑄦𑄨 𑄈𑄖𑄴𑄙𑄮 𑄦𑄪𑄠𑄬
আকা-বাকা জায়গা,𑄈𑄖𑄴𑄘𑄮 𑄎𑄉𑅁
চোখ বন্ধ কর,𑄷. 𑄌𑄮𑄇𑄴𑄈𑄪𑄚𑄴 𑄈𑄖𑄴
চোখ বন্ধ করলে অন্ধকার,𑄌𑄮𑄇𑄴 𑄈𑄘𑄨𑄣𑄬 𑄃𑄚𑄴𑄙𑄢𑄴
ঘুম না আসলেও চোখ বন্ধ করে থাকি আমি,𑄊𑄪𑄟𑄴 𑄚𑄧 𑄃𑄬𑄣𑄳𑄦𑄬𑄠𑄮 𑄝𑄚 𑄌𑄮𑄇𑄴 𑄈𑄘𑄨 𑄃𑄊𑄧𑄁 𑄟𑄪𑄠𑄴
পরীক্ষার সময় কষ্ট না করলে কেমনে ভাল রেজাল্ট করবা বল?,𑄛𑄧𑄢𑄨𑄇𑄴𑄈𑄬 𑄃𑄧𑄇𑄴𑄗𑄧𑄖𑄴 𑄚𑄧 𑄈𑄘𑄨𑄣𑄬 𑄇𑄬𑄚𑄳𑄦𑄬 𑄉𑄧𑄟𑄴 𑄢𑄳𑄦𑄬𑄎𑄣𑄴 𑄉𑄧𑄖𑄴𑄗𑄧 𑄇𑄳𑄦𑄧𑄌𑄴?
পিনোন হাদি,𑄛𑄨𑄚𑄳𑄦𑄮𑄚𑄴-𑄈𑄘𑄨
ফুলের হাদি,𑄜𑄪𑄣𑄴 𑄈𑄘𑄨
লাল হাদি,𑄢𑄋 𑄈𑄘𑄨
হাদির গিরা,𑄈𑄘𑄨 𑄛𑄬𑄣𑄴
লাাল পিনোন লাল হাদি পরিধান করা যুবতি,𑄢𑄋 𑄛𑄨𑄚𑄳𑄦𑄮𑄚𑄴 𑄢𑄋 𑄈𑄘𑄨 𑄛𑄨𑄚𑄴𑄐𑄳𑄦𑄬 𑄉𑄝𑄪𑄢𑄳𑄦𑄨𑅁
ভাত-পানি খাওয়া,𑄷. 𑄞𑄖𑄴-𑄛𑄚𑄳𑄦𑄨 𑄈𑄚
পেট ভরে খাওয়া,𑄛𑄬𑄘 𑄖𑄨𑄁 𑄖𑄨𑄁 𑄈𑄚
খাওয়া দাওয়া চলতেছে,𑄈𑄚 𑄘𑄚 𑄌𑄧𑄣𑄬𑄖𑄴𑄖𑄬
খাাওয়ার তালে মারা যাওয়া,𑄈𑄚 𑄉𑄧𑄘𑄨𑄠𑄬 𑄟𑄧𑄢𑄬
দুধ/ ওষুধ খাওয়া,𑄘𑄪𑄖𑄴/𑄘𑄢𑄪 𑄈𑄚
কাটা খাওয়া,𑄦𑄝 𑄈𑄚
ঘুষ খাওয়া,𑄊𑄪𑄌𑄴 𑄈𑄚
গিলে খাওয়া,𑄉𑄨𑄣𑄨 𑄈𑄚
চাবিয়ে খাওয়া,𑄌𑄝𑄬 𑄈𑄚
পান করে খাওয়া,𑄛𑄨 𑄈𑄚
চুষে খাওয়া,𑄌𑄪𑄏𑄨 𑄈𑄚
জিহবা দিয়ে খাওয়া,𑄣𑄳𑄦𑄬 𑄈𑄚
কাামড়িয়ে খাওয়া,𑄇𑄟𑄴𑄢𑄬 𑄇𑄟𑄴𑄢𑄬 𑄈𑄚
চেটে পুটে খাওয়া,𑄃𑄏𑄨 𑄛𑄪𑄏𑄨 𑄈𑄚
ভাোজন বিলাসী,𑄈𑄚 𑄟𑄧𑄢/𑄎𑄧𑄝𑄧𑄢𑄴
গেম খাওয়া,𑄸. 𑄉𑄬𑄟𑄴 𑄈𑄚
মাইর খাওয়া,𑄟𑄬𑄢𑄴 𑄈𑄚
থাপ্পর খাওয়া,𑄌𑄪𑄉𑄮𑄢𑄴 𑄈𑄚
ধাক্কা খাওয়া,𑄙𑄪𑄌𑄴 𑄈𑄚
দরজাটা ভালমতো বন্ধ না,𑄘𑄮𑄢𑄳𑄦𑄚𑄴 𑄉𑄧𑄟𑄬 𑄃𑄞𑄧𑄢𑄴 𑄚𑄧 𑄈𑄭
বড় একটা ধাক্কা খেলাম দরজায়,𑄝𑄧𑄢𑄴 𑄃𑄨𑄇𑄴𑄊𑄮 𑄙𑄪𑄌𑄴 𑄈𑄨𑄠𑄮𑄁𑄉𑄬 𑄘𑄮𑄢𑄚𑄳𑄦𑄧𑄖𑄴
তাদের বাসায় বড় একটা খাওয়া আছে,𑄖𑄢𑄳𑄦 𑄊𑄧𑄢𑄧𑄖𑄴 𑄃𑄨𑄌𑄴𑄌𑄬 𑄃𑄨𑄇𑄴𑄊𑄮 𑄈𑄚 𑄃𑄊𑄬
এখানে ঘুরতে আসলে মুরগির পা খাওয়া লাগেই,𑄃𑄨𑄙𑄪 𑄝𑄬𑄢 𑄃𑄬𑄣𑄳𑄦𑄬 𑄇𑄪𑄢𑄳𑄦𑄮 𑄗𑄬𑄋𑄚𑄨 𑄈 𑄛𑄧𑄢𑄬𑄘𑄬 𑄠𑄬!
খাওয়া দাওয়া করেছো?,𑄈𑄚 𑄘𑄚 𑄉𑄪𑄌𑄴𑄍𑄮 𑄚𑄨?
চাকমারা হচ্ছে জুম্ম চাপড়ি,𑄌𑄁𑄟𑄳𑄦 𑄃𑄪𑄚𑄴 𑄦𑄧𑄣𑄇𑄴𑄇𑄬 𑄎𑄪𑄟𑄴𑄟𑄮 𑄈𑄛𑄴𑄛𑄮!
বাচ্চাটাকে দুধ খাওয়াও,𑄷. 𑄉𑄪𑄢𑄮𑄞𑄮𑄢𑄬 𑄘𑄪𑄖𑄴 𑄈𑄝
জুয়া খেলায় কত টাকা হারিয়েছে কিজানি সে,𑄎𑄪 𑄈𑄢𑄖𑄴 𑄇𑄧𑄠𑄴 𑄖𑄬𑄋 𑄈𑄝𑄬𑄠𑄳𑄦𑄬 𑄇𑄨𑄎𑄬𑄚𑄨 𑄖𑄬
পানি/ ওষুধ খাওয়ানো,𑄛𑄚𑄳𑄦𑄨/𑄘𑄢𑄪 𑄈𑄝𑄚
লজ্জা খাওয়ানো,𑄣𑄎𑄴 𑄈𑄝𑄚
বাতাস/ ধোঁয়া খাওয়ানো,𑄝𑄮𑄠𑄬𑄢𑄴/𑄙𑄪𑄟𑄮 𑄈𑄝𑄚
